covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
weekly_clicks,-0.4017109572328924,0.6691741376841549,0.30974282686704585,-1.0087957423619276,0.2053738278961429,0.3646578572674723,1.2279840338580188,0.0,-1.2969177084618104,0.19465950276378483,2.3609753199142203
studied_credits,0.012215839581244562,1.0122907577013587,0.1746581245295604,-0.3301077941040056,0.3545394732664947,0.7188462418688744,1.425524011175833,0.0,0.06994143338105675,0.9442402747886172,0.08277407519621889
age_band_35-55,0.47514647589396725,1.6082497500538369,0.429835678292322,-0.367315972829329,1.3176089246172635,0.6925907706016701,3.7344812670565957,0.0,1.1054142312747486,0.2689801400081596,1.894428438720566
highest_education_HE Qualification,-0.26749984251314296,0.765290451146004,0.5334734369026248,-1.3130885655510887,0.7780888805248027,0.2689879850683898,2.1773071926106615,0.0,-0.5014304818366614,0.6160681918107505,0.6988380450350109
highest_education_Lower Than A Level,-0.8571652787657771,0.42436333065569826,0.638532895552451,-2.108666756992657,0.39433619946110277,0.1213997139047367,1.4833991828556612,0.0,-1.342397995054222,0.1794669844663195,2.478209630937533
region_East Midlands Region,0.5804888442522971,1.7869117388097489,1.241054293927487,-1.8519328747043635,3.0129105632089574,0.15693354010251478,20.346533699617424,0.0,0.4677384761429416,0.6399716223836801,0.6439201603278647
region_London Region,0.8363793300000579,2.307995340970207,1.0153694159794269,-1.153708156323087,2.8264668163232027,0.3154648049970421,16.88569504287532,0.0,0.8237192462541184,0.41009910108317715,1.2859555135345078
region_North Region,1.2858308772180238,3.6176725505250316,1.2410879055511008,-1.146656719310382,3.7183184737464297,0.31769714655731385,41.19506525206149,0.0,1.0360514122060154,0.30017815797235997,1.7361090897188058
region_North Western Region,1.3245693923752875,3.7605656780481156,0.922384406465355,-0.4832708241981625,3.1324096089487377,0.6167627664713566,22.92916334723369,0.0,1.4360275207287327,0.15099451034095454,2.7274319959850213
region_Scotland,0.46077367678157766,1.5853000204734087,1.2374406562815714,-1.9645654425359105,2.8861127960990656,0.1402168056379296,17.92350170494227,0.0,0.37236022143168673,0.7096246666255519,0.49487193615050185
region_South East Region,1.32047625773032,3.7452046352411204,1.0073097743739934,-0.653814621317875,3.294767136778515,0.5200581632187739,26.971132753724305,0.0,1.3108939189545223,0.1898936056346947,2.3967367690441566
region_South Region,1.397712070108377,4.045932559256057,0.8723281908056388,-0.3120197665696596,3.1074439067864135,0.7319670596074433,22.363807304152907,0.0,1.6022777721049228,0.10909419872641954,3.1963537090017535
region_South West Region,1.7422481174354671,5.710166127829331,0.8458058525800825,0.08449910846531128,3.399997126405623,1.0881718740885986,29.964013942851324,0.0,2.059867654167725,0.03941119469260696,4.665250706450327
region_West Midlands Region,1.1590194306770072,3.1868068584883478,0.9283871004378914,-0.6605858498928299,2.9786247112468445,0.5165486258723423,19.660758822380874,0.0,1.2484225923974317,0.21187633966742714,2.2387056046303884
region_Yorkshire Region,0.5087930327967525,1.663282455574856,1.2366202151357018,-1.9149380514233962,2.932524117016901,0.1473509604856921,18.77496093615048,0.0,0.41143839197301135,0.6807511073819075,0.5548006707757103
disability_Y,1.577458508253669,4.842632647357144,0.54911600854853,0.5012109081641616,2.6537061083431763,1.650718929994123,14.206592370836114,0.0,2.8727235842628973,0.004069500048485956,7.940932719132198
